CONTIN,SIGLA,DENOMINAZ,CODICE,DATAIST,DATASOP,CODRIF,DATAVARIAZ
1,*,ALBANIA,Z100,1/1/65,,,
1,*,ANDORRA,Z101,1/1/65,,,
1,*,AUSTRIA,Z102,1/1/65,,,
1,*,BELGIO,Z103,1/1/65,,,
1,*,BULGARIA,Z104,1/1/65,,,
1,*,CECOSLOVACCHIA,Z105,1/1/65,01/01/1993,Z155,01/01/1993
1,,CECOSLOVACCHIA,Z105,,,Z156,
1,*,CITTA' DEL VATICANO,Z106,1/1/65,,,
1,*,DANIMARCA,Z107,1/1/65,,,
1,DK,FAER OER (ISOLE),Z108,1/1/65,,,
1,*,FINLANDIA,Z109,1/1/65,,,
1,*,FRANCIA,Z110,1/1/65,,,
1,*,GERMANIA REPUBBLICA DEMOCRATICA,Z111,1/1/65,03/10/1990,Z112,03/10/1990
1,*,GERMANIA,Z112,10/3/90,,,
1,*,GERMANIA REPUBBLICA FEDERALE,Z112,1/1/65,03/10/1990,Z112,03/10/1990
1,GB,GIBILTERRA,Z113,1/1/65,,,
1,*,GRAN BRETAGNA E IRLANDA DEL NORD,Z114,1/1/65,,,
1,*,GRECIA,Z115,1/1/65,,,
1,*,IRLANDA=EIRE,Z116,1/1/65,,,
1,*,ISLANDA,Z117,1/1/65,,,
1,,IUGOSLAVIA,Z118,,,Z149,
1,*,IUGOSLAVIA,Z118,9/15/91,08/10/1991,Z118,08/10/1991
1,,IUGOSLAVIA,Z118,,,Z148,
1,*,IUGOSLAVIA,Z118,1/1/65,15/09/1991,Z118,15/09/1991
1,,IUGOSLAVIA,Z118,,,Z150,
1,*,IUGOSLAVIA,Z118,10/8/91,03/03/1992,Z118,03/03/1992
1,,IUGOSLAVIA,Z118,,,Z153,
1,*,IUGOSLAVIA,Z118,3/3/92,04/02/2003,Z157,04/02/2003
1,*,LIECHTENSTEIN,Z119,1/1/65,,,
1,*,LUSSEMBURGO,Z120,1/1/65,,,
1,*,MALTA,Z121,1/1/65,,,
1,GB,MAN (ISOLA),Z122,1/1/65,,,
1,*,MONACO,Z123,1/1/65,,,
1,GB,NORMANNE (ISOLE)=ISOLE DEL CANALE,Z124,1/1/65,,,
1,*,NORVEGIA,Z125,1/1/65,,,
1,*,PAESI BASSI,Z126,1/1/65,,,
1,*,REPUBBLICA DI POLONIA,Z127,12/31/89,,,
1,*,POLONIA,Z127,1/1/65,31/12/1989,Z127,31/12/1989
1,*,PORTOGALLO,Z128,1/1/65,,,
1,*,ROMANIA,Z129,1/1/65,,,
1,*,SAN MARINO,Z130,1/1/65,,,
1,*,SPAGNA,Z131,1/1/65,,,
1,*,SVEZIA,Z132,1/1/65,,,
1,*,SVIZZERA,Z133,1/1/65,,,
1,*,UNGHERIA,Z134,1/1/65,,,
1,*,UNIONE REPUBBLICHE SOCIALISTE SOVIETICHE,Z135,8/31/91,06/09/1991,Z135,06/09/1991
1,,UNIONE REPUBBLICHE SOCIALISTE SOVIETICHE,Z135,,,Z144,
1,,UNIONE REPUBBLICHE SOCIALISTE SOVIETICHE,Z135,,,Z143,
1,,UNIONE REPUBBLICHE SOCIALISTE SOVIETICHE,Z135,,,Z142,
1,*,UNIONE REPUBBLICHE SOCIALISTE SOVIETICHE,Z135,1/1/65,24/08/1991,Z135,24/08/1991
1,,UNIONE REPUBBLICHE SOCIALISTE SOVIETICHE,Z135,,,Z138,
1,*,UNIONE REPUBBLICHE SOCIALISTE SOVIETICHE,Z135,8/24/91,25/08/1991,Z135,25/08/1991
1,,UNIONE REPUBBLICHE SOCIALISTE SOVIETICHE,Z135,,,Z139,
1,*,UNIONE REPUBBLICHE SOCIALISTE SOVIETICHE,Z135,8/25/91,27/08/1991,Z135,27/08/1991
1,,UNIONE REPUBBLICHE SOCIALISTE SOVIETICHE,Z135,,,Z140,
1,*,UNIONE REPUBBLICHE SOCIALISTE SOVIETICHE,Z135,8/27/91,30/08/1991,Z135,30/08/1991
1,,UNIONE REPUBBLICHE SOCIALISTE SOVIETICHE,Z135,,,Z141,
1,*,UNIONE REPUBBLICHE SOCIALISTE SOVIETICHE,Z135,8/30/91,31/08/1991,Z135,31/08/1991
1,,UNIONE REPUBBLICHE SOCIALISTE SOVIETICHE,Z135,,,Z145,
1,,UNIONE REPUBBLICHE SOCIALISTE SOVIETICHE,Z135,,,Z146,
1,*,UNIONE REPUBBLICHE SOCIALISTE SOVIETICHE,Z135,9/6/91,09/09/1991,Z135,09/09/1991
1,,UNIONE REPUBBLICHE SOCIALISTE SOVIETICHE,Z135,,,Z147,
1,,UNIONE REPUBBLICHE SOCIALISTE SOVIETICHE,Z135,,,Z136,
1,*,UNIONE REPUBBLICHE SOCIALISTE SOVIETICHE,Z135,9/9/91,23/09/1991,Z135,23/09/1991
1,,UNIONE REPUBBLICHE SOCIALISTE SOVIETICHE,Z135,,,Z137,
1,*,UNIONE REPUBBLICHE SOCIALISTE SOVIETICHE,Z135,9/23/91,29/10/1991,Z135,29/10/1991
1,,UNIONE REPUBBLICHE SOCIALISTE SOVIETICHE,Z135,,,Z151,
1,*,UNIONE REPUBBLICHE SOCIALISTE SOVIETICHE,Z135,10/29/91,16/12/1991,Z135,16/12/1991
